run,dataset_name,num_points,runtime,time,jitter
5,ADHD_SIN,480,rpc_json,3.7705505000194535,0.0022778137182370255
6,ADHD_SIN,480,rpc_json,3.769591499993112,0.0036719865967288832
7,ADHD_SIN,480,rpc_json,3.7691876250319183,0.0021908466334145497
8,ADHD_SIN,480,rpc_json,3.7699072919785976,0.0016432228225142845
9,ADHD_SIN,480,rpc_json,3.7698324999655597,0.002128771654336117
0,adhd_sin_h5,60,rpc_json,1.0067216249881312,0.0018291182351306671
1,adhd_sin_h5,60,rpc_json,1.0049762499984354,0.0017685052115514039
2,adhd_sin_h5,60,rpc_json,1.0039866250008345,0.0016658622328049632
3,adhd_sin_h5,60,rpc_json,1.0002594999969006,0.0024957130873090793
4,adhd_sin_h5,60,rpc_json,1.0042134170071222,0.0013141096553302973
5,adhd_sin_h5,60,rpc_json,1.0044414160074666,0.002066423047484139
6,adhd_sin_h5,60,rpc_json,1.002345124958083,0.0012919943756680616
7,adhd_sin_h5,60,rpc_json,1.0020440410007723,0.001724428535169286
8,adhd_sin_h5,60,rpc_json,1.0038735829875804,0.0019637198423717627
9,adhd_sin_h5,60,rpc_json,1.0021994580165483,0.0023211151867788345
0,adhd_sin_h5,120,rpc_json,2.0016782080056146,0.0032072707053924106
1,adhd_sin_h5,120,rpc_json,2.004857041989453,0.00347572905008047
2,adhd_sin_h5,120,rpc_json,2.002031458017882,0.002603341511529552
3,adhd_sin_h5,120,rpc_json,2.0052285420242697,0.0020331338789774194
4,adhd_sin_h5,120,rpc_json,2.0047178749809973,0.0020312236634980755
5,adhd_sin_h5,120,rpc_json,2.0053837500163354,0.0024044591654279216
6,adhd_sin_h5,120,rpc_json,2.004463332996238,0.0028154457149714633
7,adhd_sin_h5,120,rpc_json,2.0045442080008797,0.001722028950140722
8,adhd_sin_h5,120,rpc_json,2.002567542018369,0.0018886056054789832
9,adhd_sin_h5,120,rpc_json,2.002166083024349,0.0017988262781541
0,adhd_sin_h5,240,rpc_json,3.7707257919828407,0.003065131599255775
1,adhd_sin_h5,240,rpc_json,3.770025833044201,0.0019271008586565321
2,adhd_sin_h5,240,rpc_json,3.7679581660195254,0.0025142218317411903
3,adhd_sin_h5,240,rpc_json,3.770791042014025,0.0016300313668491135
4,adhd_sin_h5,240,rpc_json,3.767210208985489,0.002533566546082736
5,adhd_sin_h5,240,rpc_json,3.7729927499894984,0.0019223300662850244
6,adhd_sin_h5,240,rpc_json,3.7686167499632575,0.0032470922077550905
7,adhd_sin_h5,240,rpc_json,3.770457417005673,0.002572162195214219
8,adhd_sin_h5,240,rpc_json,3.770223542000167,0.0024372150036366977
9,adhd_sin_h5,240,rpc_json,3.7723595840507187,0.0019847127148331927
0,adhd_sin_h5,480,rpc_json,3.7686067079775967,0.0020872669557043828
1,adhd_sin_h5,480,rpc_json,3.770249584049452,0.0019540357855048116
2,adhd_sin_h5,480,rpc_json,3.7671598750166595,0.0020274168097546576
3,adhd_sin_h5,480,rpc_json,3.7710077079827897,0.0030121070442046174
4,adhd_sin_h5,480,rpc_json,3.7705850840429775,0.002177129443058895
5,adhd_sin_h5,480,rpc_json,3.770631499995943,0.0020188892108504047
6,adhd_sin_h5,480,rpc_json,3.771825040981639,0.001790752426324491
7,adhd_sin_h5,480,rpc_json,3.7732952919905074,0.014588934382732323
8,adhd_sin_h5,480,rpc_json,3.768745083012618,0.005323883610085824
9,adhd_sin_h5,480,rpc_json,3.7689994999673218,0.0020154744045835504
0,battleship_gaze,30,rpc_json,1.4834269169950858,0.006657337198327524
1,battleship_gaze,30,rpc_json,1.4849415420321748,0.007238631432051881
2,battleship_gaze,30,rpc_json,1.4822315420024097,0.00709178472720035
3,battleship_gaze,30,rpc_json,1.4872811670065857,0.006920292386784745
