run,dataset_name,num_points,runtime,time,jitter
5,adhd_sin_h5,240,rpc_avro,3.7743340840097517,0.001271179460688975
6,adhd_sin_h5,240,rpc_avro,3.773247791978065,0.0018283264011470233
7,adhd_sin_h5,240,rpc_avro,3.778189917036798,0.001653956208939906
8,adhd_sin_h5,240,rpc_avro,3.7768865420366637,0.0022110624011175864
9,adhd_sin_h5,240,rpc_avro,3.7776190000004135,0.0020626050900851224
0,adhd_sin_h5,480,rpc_avro,3.7772897080285475,0.001538125896900829
1,adhd_sin_h5,480,rpc_avro,3.7783580000395887,0.00142462915869461
2,adhd_sin_h5,480,rpc_avro,3.7780197089887224,0.001516688793478775
3,adhd_sin_h5,480,rpc_avro,3.778555541008245,0.0014260263574716668
4,adhd_sin_h5,480,rpc_avro,3.774904499994591,0.0019950928569252976
5,adhd_sin_h5,480,rpc_avro,3.7762159580015577,0.0018893706359721686
6,adhd_sin_h5,480,rpc_avro,3.779370666947216,0.001769661558726408
7,adhd_sin_h5,480,rpc_avro,3.7784838750376366,0.0019658971707383734
8,adhd_sin_h5,480,rpc_avro,3.77609408297576,0.00158990644996823
9,adhd_sin_h5,480,rpc_avro,3.775254959007725,0.0018757490865497154
0,battleship_gaze,30,rpc_avro,1.4806469160248525,0.0064821841983436134
1,battleship_gaze,30,rpc_avro,1.4860079999780282,0.006554604810250762
2,battleship_gaze,30,rpc_avro,1.4871888329507783,0.006619758544226983
3,battleship_gaze,30,rpc_avro,1.4862052079988644,0.00673444305379607
4,battleship_gaze,30,rpc_avro,1.4846269999979995,0.006676008003668234
5,battleship_gaze,30,rpc_avro,1.485879375017248,0.005938219491056007
6,battleship_gaze,30,rpc_avro,1.485663834027946,0.006927442154119211
7,battleship_gaze,30,rpc_avro,1.48549820802873,0.006695635765792907
8,battleship_gaze,30,rpc_avro,1.4852867079898715,0.0069133637529460445
9,battleship_gaze,30,rpc_avro,1.4844538330216892,0.006883306893251704
0,battleship_gaze,60,rpc_avro,2.882433833030518,0.004611129035745252
1,battleship_gaze,60,rpc_avro,2.8873499580076896,0.005455004486136142
2,battleship_gaze,60,rpc_avro,2.883283458009828,0.005493672939243408
3,battleship_gaze,60,rpc_avro,2.8870859160088003,0.005145534370804218
4,battleship_gaze,60,rpc_avro,2.8831608329783194,0.005142190071360166
5,battleship_gaze,60,rpc_avro,2.887294207990635,0.0053750071219777614
6,battleship_gaze,60,rpc_avro,2.8872264169622213,0.0051006861984633995
7,battleship_gaze,60,rpc_avro,2.884052665962372,0.0049481325259424745
8,battleship_gaze,60,rpc_avro,2.8866785409627482,0.00557573309353596
9,battleship_gaze,60,rpc_avro,2.885530750034377,0.00525136898559614
0,battleship_gaze,120,rpc_avro,5.723323167010676,0.004594257482863235
1,battleship_gaze,120,rpc_avro,5.718053415999748,0.004321809035472908
2,battleship_gaze,120,rpc_avro,5.721383832977153,0.004423025759832661
3,battleship_gaze,120,rpc_avro,5.720263375027571,0.004270141029925097
4,battleship_gaze,120,rpc_avro,5.721259833022486,0.004598604908474275
5,battleship_gaze,120,rpc_avro,5.721166125033051,0.004549452232126737
6,battleship_gaze,120,rpc_avro,5.720985666965134,0.004468492180664486
7,battleship_gaze,120,rpc_avro,5.72126845800085,0.0044030013562666205
8,battleship_gaze,120,rpc_avro,5.720028125040699,0.0044057245771537395
9,battleship_gaze,120,rpc_avro,5.721320083015598,0.004646536788209246
0,battleship_gaze,240,rpc_avro,11.38449354202021,0.003975391013881504
1,battleship_gaze,240,rpc_avro,11.386720957991201,0.00416743874051099
2,battleship_gaze,240,rpc_avro,11.387685250025243,0.004156092686022203
3,battleship_gaze,240,rpc_avro,11.384503832960036,0.004137728118192292
4,battleship_gaze,240,rpc_avro,11.385228667000774,0.004145232227355802
5,battleship_gaze,240,rpc_avro,11.38798191602109,0.004120495019597928
6,battleship_gaze,240,rpc_avro,11.3845617910265,0.004206216552951141
7,battleship_gaze,240,rpc_avro,11.388007833971642,0.00405311434727624
8,battleship_gaze,240,rpc_avro,11.387099540967029,0.0044076826599808525
9,battleship_gaze,240,rpc_avro,11.383321584027726,0.004076787305421211
0,tdbrain,100,rpc_avro,1.0026378750335425,0.001212500516442641
1,tdbrain,100,rpc_avro,1.0011114999651909,0.0011745246609170341
2,tdbrain,100,rpc_avro,1.0013194580096751,0.0011198590825035107
3,tdbrain,100,rpc_avro,1.001782750012353,0.0012717422498050295
4,tdbrain,100,rpc_avro,1.0013892499846406,0.0013654660405005793
5,tdbrain,100,rpc_avro,1.0005190419615246,0.0011006348989009178
6,tdbrain,100,rpc_avro,1.001029125007335,0.0013441712505106614
7,tdbrain,100,rpc_avro,1.0021632919670083,0.0010001035708832758
8,tdbrain,100,rpc_avro,1.00285587500548,0.0013760343154589022
9,tdbrain,100,rpc_avro,1.0009200000204146,0.0012176400004027044
0,tdbrain,200,rpc_avro,2.0037181659718044,0.00217680569409148
1,tdbrain,200,rpc_avro,2.001322666008491,0.002287953500693672
