run,dataset_name,num_points,runtime,time,jitter
9,ADHD_SIN,240,rpc_avro,3.773969624991878,0.002068847782669504
0,ADHD_SIN,480,rpc_avro,3.773488625010941,0.0015785327855550525
1,ADHD_SIN,480,rpc_avro,3.7737974999909056,0.0016710543671112146
2,ADHD_SIN,480,rpc_avro,3.773136666000937,0.0016811796682829826
3,ADHD_SIN,480,rpc_avro,3.770871750006336,0.0017754667890774252
4,ADHD_SIN,480,rpc_avro,3.7750012500036974,0.0018190306812768246
5,ADHD_SIN,480,rpc_avro,3.774398541994742,0.0017508028982547743
6,ADHD_SIN,480,rpc_avro,3.7754697909986135,0.0019931801767801506
7,ADHD_SIN,480,rpc_avro,3.770528208988253,0.0017513443342305828
8,ADHD_SIN,480,rpc_avro,3.771271124991472,0.001992660414282199
9,ADHD_SIN,480,rpc_avro,3.77382599998964,0.001800665922973413
0,adhd_sin_h5,60,rpc_avro,1.003252791997511,0.001854280903909866
1,adhd_sin_h5,60,rpc_avro,1.0006862919981359,0.0019825507167327504
2,adhd_sin_h5,60,rpc_avro,1.003479042003164,0.0013529801505874528
3,adhd_sin_h5,60,rpc_avro,1.0025410420057597,0.000934139657090294
4,adhd_sin_h5,60,rpc_avro,1.003185334004229,0.0014372709448605637
5,adhd_sin_h5,60,rpc_avro,1.003524917003233,0.0013318858185206548
6,adhd_sin_h5,60,rpc_avro,1.0038869580021128,0.002009806121034789
7,adhd_sin_h5,60,rpc_avro,1.0006127919914434,0.0019735000535744613
8,adhd_sin_h5,60,rpc_avro,1.0009028329950524,0.001328245631705731
9,adhd_sin_h5,60,rpc_avro,1.0019305829919176,0.0017591469823589555
0,adhd_sin_h5,120,rpc_avro,2.003920499992091,0.0015876443718893015
1,adhd_sin_h5,120,rpc_avro,2.0034395000111545,0.0018013649247239142
2,adhd_sin_h5,120,rpc_avro,2.001724624991766,0.0014992119609162065
3,adhd_sin_h5,120,rpc_avro,2.0035467499983497,0.0012572216013915993
4,adhd_sin_h5,120,rpc_avro,2.002114791990607,0.0018814639994371295
5,adhd_sin_h5,120,rpc_avro,2.0026945830031764,0.0017752174542454782
6,adhd_sin_h5,120,rpc_avro,2.001776958000846,0.001918045100711154
7,adhd_sin_h5,120,rpc_avro,2.0018043340096483,0.001683768641802582
8,adhd_sin_h5,120,rpc_avro,2.0042844579875236,0.0018157561234216017
9,adhd_sin_h5,120,rpc_avro,2.004563208000036,0.0016436911884871713
0,adhd_sin_h5,240,rpc_avro,3.771843040987733,0.0019246570269591918
1,adhd_sin_h5,240,rpc_avro,3.7726909589982824,0.0016360303241318116
2,adhd_sin_h5,240,rpc_avro,3.7738802079984453,0.0017665924781158937
3,adhd_sin_h5,240,rpc_avro,3.7747253330016974,0.0021893989797388434
4,adhd_sin_h5,240,rpc_avro,3.7744795830076328,0.0013856082253236972
5,adhd_sin_h5,240,rpc_avro,3.774926415993832,0.0017328374975791047
6,adhd_sin_h5,240,rpc_avro,3.7726774999900954,0.0017159462599812597
7,adhd_sin_h5,240,rpc_avro,3.7745279589871643,0.0015713000830420458
8,adhd_sin_h5,240,rpc_avro,3.7724032910045935,0.0018646083521906848
9,adhd_sin_h5,240,rpc_avro,3.774332624991075,0.0015911529184787783
0,adhd_sin_h5,480,rpc_avro,3.775204040997778,0.0019273102156511614
1,adhd_sin_h5,480,rpc_avro,3.7768040420050966,0.0017276266678083534
2,adhd_sin_h5,480,rpc_avro,3.7745944159978535,0.0016941569976350248
3,adhd_sin_h5,480,rpc_avro,3.774634999994305,0.0017366529830557889
4,adhd_sin_h5,480,rpc_avro,3.7757085420016665,0.001734096010455077
5,adhd_sin_h5,480,rpc_avro,3.7746552909957245,0.0018346075229889313
6,adhd_sin_h5,480,rpc_avro,3.774936209010775,0.002303940680363591
7,adhd_sin_h5,480,rpc_avro,3.773577750005643,0.0016888112524085263
8,adhd_sin_h5,480,rpc_avro,3.770264249993488,0.0015086554455579974
9,adhd_sin_h5,480,rpc_avro,3.774558833989431,0.0015572295285244562
0,battleship_gaze,30,rpc_avro,1.482783166997251,0.006783095160644573
1,battleship_gaze,30,rpc_avro,1.4826447920058854,0.006600317643333083
2,battleship_gaze,30,rpc_avro,1.48530225000286,0.006532032883702281
3,battleship_gaze,30,rpc_avro,1.485192084001028,0.006259314232290161
4,battleship_gaze,30,rpc_avro,1.4844445829949109,0.006569926562818517
5,battleship_gaze,30,rpc_avro,1.4837599169986788,0.006700927444903169
6,battleship_gaze,30,rpc_avro,1.4868735000054585,0.007014274739003507
7,battleship_gaze,30,rpc_avro,1.483497624998563,0.006913865672514068
8,battleship_gaze,30,rpc_avro,1.4809329169947887,0.006641514534714895
9,battleship_gaze,30,rpc_avro,1.4856649170105811,0.006817492028312768
0,battleship_gaze,60,rpc_avro,2.8921767090068897,0.005252870573698326
1,battleship_gaze,60,rpc_avro,2.8883568330056733,0.005865595101599451
2,battleship_gaze,60,rpc_avro,2.89172816601058,0.00636568381357837
3,battleship_gaze,60,rpc_avro,2.886202832989511,0.006137624510566319
4,battleship_gaze,60,rpc_avro,2.8850502080022125,0.006420076974084977
5,battleship_gaze,60,rpc_avro,2.8846141250105575,0.007333306908222336
6,battleship_gaze,60,rpc_avro,2.8915497499983758,0.006265769279162544
7,battleship_gaze,60,rpc_avro,2.8824518750043353,0.007074222349117526
8,battleship_gaze,60,rpc_avro,2.8818238329986343,0.0064095075257682085
9,battleship_gaze,60,rpc_avro,2.883657917001983,0.005959703128949312
0,battleship_gaze,120,rpc_avro,5.726472875001491,0.005834978067019914
1,battleship_gaze,120,rpc_avro,5.71971287499764,0.005843855889181662
2,battleship_gaze,120,rpc_avro,5.727428333993885,0.005506357035186391
3,battleship_gaze,120,rpc_avro,5.727406916994369,0.005740405322498055
4,battleship_gaze,120,rpc_avro,5.721574791998137,0.005582845532983022
5,battleship_gaze,120,rpc_avro,5.725974083004985,0.0057542287420903
6,battleship_gaze,120,rpc_avro,5.7265079589997185,0.006428748243634761
7,battleship_gaze,120,rpc_avro,5.726918291009497,0.006595810497303785
8,battleship_gaze,120,rpc_avro,5.725162792004994,0.0060997097811078885
9,battleship_gaze,120,rpc_avro,5.727215957987937,0.006278919470793412
0,battleship_gaze,240,rpc_avro,11.38357933399675,0.006248231002449603
1,battleship_gaze,240,rpc_avro,11.383839917005389,0.005705839810752425
2,battleship_gaze,240,rpc_avro,11.38868254100089,0.005943886313190205
3,battleship_gaze,240,rpc_avro,11.386693124994054,0.005406779461988598
4,battleship_gaze,240,rpc_avro,11.387585375006893,0.005701549094804726
5,battleship_gaze,240,rpc_avro,11.387175249998108,0.005942774624042363
6,battleship_gaze,240,rpc_avro,11.383254125001258,0.005890237515386814
7,battleship_gaze,240,rpc_avro,11.38489750000008,0.005597746736107904
8,battleship_gaze,240,rpc_avro,11.38573725000606,0.006032894935565879
9,battleship_gaze,240,rpc_avro,11.389219208009308,0.006044593051072222
0,tdbrain,100,rpc_avro,1.0047292090021074,0.0020349204610132284
1,tdbrain,100,rpc_avro,1.0037766250025015,0.002020757189279667
2,tdbrain,100,rpc_avro,1.0040282499976456,0.0018628725912921923
3,tdbrain,100,rpc_avro,1.0015362910053227,0.0021755582751021283
4,tdbrain,100,rpc_avro,1.0025787500053411,0.002176224699083406
5,tdbrain,100,rpc_avro,1.002694499999052,0.002519242142760955
6,tdbrain,100,rpc_avro,1.0012240829964867,0.0027407724268105143
7,tdbrain,100,rpc_avro,1.0014876250061207,0.002166007431968126
8,tdbrain,100,rpc_avro,1.0022472919954453,0.0017832463029572726
9,tdbrain,100,rpc_avro,1.0056196250079665,0.0021881180978422015
0,tdbrain,200,rpc_avro,2.000987624996924,0.0025825873055350555
1,tdbrain,200,rpc_avro,2.0011176249972777,0.0024715210284857185
2,tdbrain,200,rpc_avro,1.9989811250125058,0.002135296205788121
3,tdbrain,200,rpc_avro,2.000827500000014,0.0022242344366659307
